"Title","WorkoutType","WorkoutDescription","PlannedDuration","PlannedDistanceInMeters","WorkoutDay","CoachComments","DistanceInMeters","PowerAverage","PowerMax","Energy","AthleteComments","TimeTotalInHours","VelocityAverage","VelocityMax","CadenceAverage","CadenceMax","HeartRateAverage","HeartRateMax","TorqueAverage","TorqueMax","IF","TSS","HRZone1Minutes","HRZone2Minutes","HRZone3Minutes","HRZone4Minutes","HRZone5Minutes","HRZone6Minutes","HRZone7Minutes","HRZone8Minutes","HRZone9Minutes","HRZone10Minutes","PWRZone1Minutes","PWRZone2Minutes","PWRZone3Minutes","PWRZone4Minutes","PWRZone5Minutes","PWRZone6Minutes","PWRZone7Minutes","PWRZone8Minutes","PWRZone9Minutes","PWRZone10Minutes","Rpe","Feeling"
"OREN: Zone 2-3 Offroad","MTB","","2","","2020-01-01","","43541.58984375","","",""," *01/01/2020 Abigail Snyder: My legs felt dead. It was everything I could do to hang with Paul Bishop and Rick Biddle on their fat bikes...*","1.79166662693024","6.75099992752075","","","","153","173","","","0.756789392689586","115.34","0","0","2","10","18","73","4","","","","","","","","","","","","","","7","7"
"DRT SU.2","Bike","","1.25","","2020-01-02","","27533.150390625","156","265","716.041"," *01/02/2020 Abigail Snyder: My legs are dead. I also felt like my breathing rate was high in comparison to effort. Going to try and get a massage tomorrow morning before work. My legs and shoulder are pretty shredded.*","1.274618268013","6","","92","","130","155","","","0.661224120947635","54.81","0","0","6","33","37","3","0","","","","44","20","10","4","0","0","","","","","5","9"
"DRT FD.3 EN","Bike","","1.95","","2020-01-03","","45924.328125","184","258","1328.034"," *01/03/2020 Abigail Snyder: By the third and fourth interval, I was dying, but pushed through. :) Also, 2 hours is mentally a long time. Even with a podcast, the last 15 minutes of the cool down seemed to last forever.*","2.00147008895874","6.3730001449585","","21","","143","166","","","0.788195323850027","121.28","0","0","4","14","63","41","0","","","","40","36","10","36","0","0","","","","","8","5"
"Running","Run","","","","2020-01-03","","1277.28002929688","","","","","0.194236114621162","1.82700002193451","","55","","122","142","","","0.683978040819635","9.66","0","1","3","2","5","0","0","","","","","","","","","","","","","","",""
"DRT SU.2","Bike","","1.25","","2020-01-04","","39376.8515625","147","320","669.919"," *01/04/2020 Abigail Snyder: Used the rollers today. Still couldn't get cadence much above 115-117. That 120-130 goal is just a bit out of reach yet, but I'm getting closer. Also was daydreaming at the start of the cool down and totally rode off the rollers. Oops.*","1.26787805557251","8.6269998550415","","87","","124","157","","","0.628327560574697","49.42","0","0","7","51","17","3","0","","","","46","20","11","2","0","0","","","","","3","5"
"Ray's Indoor MTB Trip","Bike","","3.5","","2020-01-05","","27778.33984375","","",""," *01/05/2020 Abigail Snyder: So much fun. Getting way more confident in the air, on skinnies, and going off drops. Can’t wait to hit some real trails this year.*","2.51027774810791","3.07399988174438","","","","147","180","","","0.721862604747149","148.28","0","5","8","14","38","71","14","","","","","","","","","","","","","","7","5"
"Running","Run","","","","2020-01-05","","1819.01000976563","","","","","0.19242750108242","2.62599992752075","","68","","139","159","","","0.884272850112437","15.98","0","0","0","1","9","1","0","","","","","","","","","","","","","","1","5"
"OZ Strength & Conditioning","Strength","","1","","2020-01-06","","0","","",""," *01/06/2020 Abigail Snyder: I forgot to start my watch for the first 30 minutes. My left knee feels like it was somehow hyperextended yesterday, so is somewhat sore. Still have a lot of stiffness in my left shoulder as well. Otherwise the work out itself wasn’t too bad. Just overall fatigue in the legs.*","0.574166666666667","0","","","","91","129","","","0.551367918891901","19.07","3","18","11","3","0","0","0","","","","","","","","","","","","","","3","7"
"Running","Run","","","","2020-01-06","","1812.35998535156","","","","","0.208376109600067","2.41599988937378","","65","","143","172","","","0.804737765826511","14.39","0","0","0","1","6","5","0","","","","","","","","","","","","","","2","5"
"Beach Volleyball","Other","","1","","2020-01-08","","0","","",""," *01/09/2020 Abigail Snyder: Didn’t play my best today, but wasn’t overly strenuous.*","1.1391054391861","0","","19","","96","141","","","0.561604854053635","39.93","8","20","29","9","1","0","0","","","","","","","","","","","","","","2","5"
