"Title","WorkoutType","WorkoutDescription","PlannedDuration","PlannedDistanceInMeters","WorkoutDay","CoachComments","DistanceInMeters","PowerAverage","PowerMax","Energy","AthleteComments","TimeTotalInHours","VelocityAverage","VelocityMax","CadenceAverage","CadenceMax","HeartRateAverage","HeartRateMax","TorqueAverage","TorqueMax","IF","TSS","HRZone1Minutes","HRZone2Minutes","HRZone3Minutes","HRZone4Minutes","HRZone5Minutes","HRZone6Minutes","HRZone7Minutes","HRZone8Minutes","HRZone9Minutes","HRZone10Minutes","PWRZone1Minutes","PWRZone2Minutes","PWRZone3Minutes","PWRZone4Minutes","PWRZone5Minutes","PWRZone6Minutes","PWRZone7Minutes","PWRZone8Minutes","PWRZone9Minutes","PWRZone10Minutes","Rpe","Feeling"
"LONG TEMPO EFFORTS","Bike","FOCUS ON STEADY SPIN IN THE 150-160 RANGE FOR 10-30 MINUTE PERIODS - STEADY EASIER SPINNING BETWEEN EFFORTS - Warm up and ride into the 130HR ranges, add a few jumps, get the system going - Check your bio feedback here. When warmed up and ready, choose sections of trail or roads, especially on the hill grades and climbs, and spin mainly seated into the 150-160HR ranges for duration s of 10-20 plus minutes - Power goal can be 240 - 260 PLUS watts, just keep HR under 165 - If you feel good and can work up to 30 min efforts, go for it - Easier, steady spin for between all efforts today, 130-140's HR - Work efforts on and off all day until speed and power drops - If speed or power doesn't drop, work these all day and have fun with it - Remember, push speed and power, keep breath deep and HR in line","2.5","","2023-01-01","BE FLUID - KEEP HR IN LINE, PUSH POWER IF FEELING GOOD","61139.671875","195","466","1737.97"," *01/01/2023 Abigail Snyder: Legs felt good. Called for a ride because I was near hypothermia from the rain and cold.*","2.47283172607422","6.86800003051758","","85","","150","168","","","0.776852280916939","148.49","0","0","2","11","29","106","0","","","","34","57","32","17","6","3","","","","","7","3"
"SEATED TO STANDING FORCE INTO TEMPO","Bike","GET INTO SEATED FORCE EFFORTS ON CLIMBS, FINISHING THE EFFORT STANDING - WORK SOME TEMPO BETWEEN A FEW EFFORTS - Warm up into the 130's HR, check how you feel - When ready, on a climb, shift a gear or two harder (or use a single speed) remain seated and grind a 20-30 second effort, then stand and continue that effort for another 20-30 seconds - Efforts can be shorter 30-60 seconds or longer 2-5 plus minute efforts, just work the seated to standing theme - HR can rise into the 160's-170's, Power 300-500 watt range - cadence 50-70 rpm but focus more on grinding an effort - Sit and spin into tempo ranges, 150-160HR between a few efforts today, otherwise spin easier, 140's, to recover.","2","","2023-01-02","60-90 MIN INSIDE - IF OUTDOORS DOESN'T NEED TO BE THIS PERFECT, JUST WORK FORCE, HILLS, SOME TEMPO - TIME TO BUILD STRENGTH","45867.19921875","195","605","1280.589"," *01/02/2023 Abigail Snyder: Absolutely shattered. Found myself pushing through an effort just to collapse on the saddle for a brief moment to recover. Oof.*","1.82956528663635","6.96400022506714","","80","","148","175","","","0.864682812525803","135.94","0","2","3","9","34","58","4","","","","43","24","13","10","7","13","","","","","8","7"
"EverAthlete: RideStrong Stability","Strength","","0.75","","2023-01-03","","","","",""," *01/04/2023 Abigail Snyder: Skipped the gym today as stomach is definitely still off, and fatigue is high.*","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Commute","Bike","","","","2023-01-03","","2378.65991210938","112","306","53.701","","0.134633332490921","4.90799999237061","","70","","","","","","0.481748101980847","2.95","","","","","","","","","","","6","1","1","0","0","0","","","","","",""
"EASY SPIN / SINGLE LEG DRILLS","Bike","KEEP IT EASY TODAY AND SPIN IN THE 130-150HR RANGE KEEP IT EASY AND LIGHT AND WORK WITH A NATURAL CADENCE ---- keep today to a steady spin in the 130-150 ranges where you feel comfortable spinning. No need to push it today.Try to keep 130 as a minimum HR range to maintain. On flats/hills, un-clip at times and spin one leg for 30 seconds, switch legs then back to easy spin - Add these when appropriate, on safe terrain, away from autos.","1","0","2023-01-03","EASY 60 MINUTES - TAKE IT EASY, SAVE IT FOR THE REST OF THE WEEK","18726.5390625","132","625","428.733"," *01/04/2023 Abigail Snyder: Kept it easy, but definitely noticed the fatigue. Legs just felt heavy and tired… and body felt fatigued, though as likely from some stomach bug/food poisoning all day as anything else.*","0.90807694196701","5.72800016403198","","82","","123","149","","","0.610346562486628","33.56","0","4","8","23","19","0","0","","","","32","13","5","2","1","1","","","","","3","7"
"Walking","Walk","","","","2023-01-03","","530.239990234375","","","","","0.138509452342987","1.06299996376038","","70","","104","122","","","0.364218708239381","1.95","8","0","0","0","0","","","","","","","","","","","","","","","","",""
"Cycling","Bike","","","","2023-01-03","","2723.5400390625","","","","","0.148837223649025","5.08300018310547","","","","115","134","","","0.610074418616748","5.85","0","1","2","6","0","0","0","","","","","","","","","","","","","","",""
"EverAthlete: Core","Strength","Complete Ride Strong Strength Cycle A weekly core session.","0.5","","2023-01-04","","0","","","","","0.273820012807846","0","","","","81","116","","","0.536941849505643","8.46","13","0","0","0","0","","","","","","","","","","","","","","","","",""
"STEADY ENDURANCE","Bike","STEADY PACE IN THE 140-155 RANGES MAINLY WITH FEW BREAKS - WORK WITH A SLIGHTLY FASTER CADENCE THE WHOLE TIME TODAY - Warm up and ride into the 130-140 ranges. Check your bio feedback here. Where is your breath? Where is your PE? How do your legs feel? If you feel good fatigue, add more warm up and back off the ranges for the day- If you feel good then spin in the 140-155 range for most of the ride today - Spin seated with a slightly faster cadence today, all day long - Add easier spin breaks when needed - If normal cadence is in the 85RPM range, aim for 90 plus on longer segments","1.5","","2023-01-04","FLUID SPIN, CAN BE LONGER, JUST GO FOR IT - TAP ON THE PEDALS, KEEP IT FUN","30373.83984375","168","528","834.212"," *01/04/2023 Abigail Snyder: Felt pretty ok. Stomach is still a little off, so there’s some fatigue from that I think, but otherwise warmed up and felt decent.*","1.37742161750793","6.125","","83","","141","171","","","0.760726421167312","79.34","0","0","2","13","44","22","0","","","","35","22","11","6","4","5","","","","","4","5"
"Walking","Walk","","","","2023-01-04","","976.059997558594","","","","","0.235256671905518","1.15199995040894","","71","","102","113","","","0.393725184937497","3.9","14","0","0","0","0","","","","","","","","","","","","","","","","",""
"Gravel Cycling","Bike","","","","2023-01-04","","2313.15991210938","119","302","51.205","","0.125678330659866","5.11299991607666","","76","","","","","","0.480872629009638","2.72","","","","","","","","","","","6","1","0","0","0","0","","","","","",""
"Gravel Cycling","Bike","","","","2023-01-04","","2302.580078125","101","369","36.738","","0.103280276060104","6.19299983978271","","71","","","","","","0.452775836127083","1.95","","","","","","","","","","","5","1","0","0","0","0","","","","","",""
"Commute","Bike","","","","2023-01-05","","2360.72998046875","118","315","52.969","","0.125534161925316","5.22399997711182","","73","","","","","","0.485847477035419","2.76","","","","","","","","","","","6","1","0","0","0","0","","","","","",""
"Walking","Walk","","","","2023-01-05","","923.570007324219","","","","","0.229263335466385","1.11899995803833","","74","","100","115","","","0.365677384969406","3.28","14","0","0","0","0","","","","","","","","","","","","","","","","",""
"Road Cycling","Bike","","","","2023-01-05","","2543.02001953125","114","310","44.442","","0.108641944825649","6.5019998550415","","73","","","","","","0.474717645056786","2.27","","","","","","","","","","","5","2","0","0","0","0","","","","","",""
"Road Cycling","Bike","","","","2023-01-05","","7549.10009765625","119","419","180.478","","0.425869166851044","4.92399978637695","","78","","","","","","0.545687950703767","12.49","","","","","","","","","","","17","6","2","1","0","0","","","","","",""
"Commute","Bike","","","","2023-01-05","","2301.34008789063","99","352","37.62","","0.106025829911232","6.02899980545044","","73","","","","","","0.462066412332774","2.1","","","","","","","","","","","5","1","0","0","0","0","","","","","",""
"SHORT SUB LT SPIN EFFORTS","Bike","WORK WITH A FASTER CADENCE SEATED, WHILE REACHING THE TARGETED HR RANGES TODAY - TRY TO WORK WITH LESS FORCE AND MORE SPIN - take your time warming up as always. Ease into the 130 HR range and check your bio feedback - When you are feeling good, up your pace into tempo for 3-5 minutes, 150-160HR, then stay seated and spin with a faster cadence into the Sub LT range, 160-170 HR range - 260-280 PLUS watts - Try to hold that effort for at least 3-5 minutes, up to 7-10 minutes if feeling good on a climb - Keep it as simple as that and work in 5-10 efforts today - Keep the rest of the day an easier/steady spin in the 130-140'sHR ranges","1.48333333333333","","2023-01-05","PICK SHORT HILLS AND SPIN THEM SEATED, SUB LT RANGES - IF PE IS HIGH TODAY, LEGS HURT, JUST BACK OFF THE EFFORTS AND SPIN IT OUT - FLIP SIDE IF ALL IS GOOD AND YOU CAN WORK MORE POWER GO FOR IT, JUST KEEP HR IN LINE","36619.671875","178","632","996.372"," *01/06/2023 Abigail Snyder: Felt pretty decent. Cold. Didn't dress quite warm enough.*","1.56095552444458","6.51700019836426","","84","","144","169","","","0.770617805125349","92.37","0","0","3","19","26","45","0","","","","37","21","16","11","6","2","","","","","",""
